DimProductID;ProductID;Name;ProductNumber;Color;SafetyStockLevel;ReorderPoint;StandardCost;ListPrice;Size;Weight;DaysToManufacture;ProductLine;Class;Style;SRC_ID_ProductSubcategory;ProductSubcategoryName;SRC_ID_ProductModel;ProductModelName;SRC_ID_ProductCategory;ProductCategoryName;SellStartDate;SellEndDate;DiscontinueDate
23;780;Mountain-200 Silver, 42;;Silver;100;75;1265.6195;2319.99;42;23.77;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
24;785;Mountain-300 Black, 38;;Black;100;75;598.4354;1079.99;38;25.35;4;M ;M ;U ;1;Mountain Bikes;21;Mountain-300;1;Bikes;2012-05-30;2013-05-29;
25;788;Mountain-300 Black, 48;;Black;100;75;598.4354;1079.99;48;26.42;4;M ;M ;U ;1;Mountain Bikes;21;Mountain-300;1;Bikes;2012-05-30;2013-05-29;
26;786;Mountain-300 Black, 40;;Black;100;75;598.4354;1079.99;40;25.77;4;M ;M ;U ;1;Mountain Bikes;21;Mountain-300;1;Bikes;2012-05-30;2013-05-29;
27;787;Mountain-300 Black, 44;;Black;100;75;598.4354;1079.99;44;26.13;4;M ;M ;U ;1;Mountain Bikes;21;Mountain-300;1;Bikes;2012-05-30;2013-05-29;
28;983;Mountain-400-W Silver, 46;;Silver;100;75;419.7784;769.49;46;27.42;4;M ;M ;W ;1;Mountain Bikes;22;Mountain-400-W;1;Bikes;2013-05-30;;
29;981;Mountain-400-W Silver, 40;;Silver;100;75;419.7784;769.49;40;26.77;4;M ;M ;W ;1;Mountain Bikes;22;Mountain-400-W;1;Bikes;2013-05-30;;
30;982;Mountain-400-W Silver, 42;;Silver;100;75;419.7784;769.49;42;27.13;4;M ;M ;W ;1;Mountain Bikes;22;Mountain-400-W;1;Bikes;2013-05-30;;
31;758;Road-450 Red, 52;;Red;100;75;884.7083;1457.99;52;17.42;4;R ;M ;U ;2;Road Bikes;28;Road-450;1;Bikes;2011-05-31;2012-05-29;
32;986;Mountain-500 Silver, 44;;Silver;100;75;308.2179;564.99;44;28.13;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
33;992;Mountain-500 Black, 48;;Black;100;75;294.5797;539.99;48;28.42;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
34;990;Mountain-500 Black, 42;;Black;100;75;294.5797;539.99;42;27.77;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
35;988;Mountain-500 Silver, 52;;Silver;100;75;308.2179;564.99;52;28.68;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
36;993;Mountain-500 Black, 52;;Black;100;75;294.5797;539.99;52;28.68;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
37;989;Mountain-500 Black, 40;;Black;100;75;294.5797;539.99;40;27.35;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
38;991;Mountain-500 Black, 44;;Black;100;75;294.5797;539.99;44;28.13;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
39;984;Mountain-500 Silver, 40;;Silver;100;75;308.2179;564.99;40;27.35;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
40;985;Mountain-500 Silver, 42;;Silver;100;75;308.2179;564.99;42;27.77;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
41;987;Mountain-500 Silver, 48;;Silver;100;75;308.2179;564.99;48;28.42;4;M ;L ;U ;1;Mountain Bikes;23;Mountain-500;1;Bikes;2013-05-30;;
42;783;Mountain-200 Black, 42;;Black;100;75;1251.9813;2294.99;42;23.77;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
43;801;Road-550-W Yellow, 48;;Yellow;100;75;713.0798;1120.49;48;18.68;4;R ;M ;W ;2;Road Bikes;29;Road-550-W;1;Bikes;2012-05-30;;
44;798;Road-550-W Yellow, 40;;Yellow;100;75;713.0798;1120.49;40;17.77;4;R ;M ;W ;2;Road Bikes;29;Road-550-W;1;Bikes;2012-05-30;;
45;966;Touring-1000 Blue, 46;;Blue;100;75;1481.9379;2384.07;46;25.13;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
46;954;Touring-1000 Yellow, 46;;Yellow;100;75;1481.9379;2384.07;46;25.13;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
47;956;Touring-1000 Yellow, 54;;Yellow;100;75;1481.9379;2384.07;54;25.68;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
48;953;Touring-2000 Blue, 60;;Blue;100;75;755.1508;1214.85;60;27.90;4;T ;M ;U ;3;Touring Bikes;35;Touring-2000;1;Bikes;2013-05-30;;
49;970;Touring-2000 Blue, 46;;Blue;100;75;755.1508;1214.85;46;27.13;4;T ;M ;U ;3;Touring Bikes;35;Touring-2000;1;Bikes;2013-05-30;;
50;971;Touring-2000 Blue, 50;;Blue;100;75;755.1508;1214.85;50;27.42;4;T ;M ;U ;3;Touring Bikes;35;Touring-2000;1;Bikes;2013-05-30;;
51;972;Touring-2000 Blue, 54;;Blue;100;75;755.1508;1214.85;54;27.68;4;T ;M ;U ;3;Touring Bikes;35;Touring-2000;1;Bikes;2013-05-30;;
52;961;Touring-3000 Yellow, 44;;Yellow;100;75;461.4448;742.35;44;28.77;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
53;959;Touring-3000 Blue, 58;;Blue;100;75;461.4448;742.35;58;29.90;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
54;962;Touring-3000 Yellow, 50;;Yellow;100;75;461.4448;742.35;50;29.13;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
55;979;Touring-3000 Blue, 50;;Blue;100;75;461.4448;742.35;50;29.13;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
56;958;Touring-3000 Blue, 54;;Blue;100;75;461.4448;742.35;54;29.68;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
57;965;Touring-3000 Yellow, 62;;Yellow;100;75;461.4448;742.35;62;30.00;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
58;978;Touring-3000 Blue, 44;;Blue;100;75;461.4448;742.35;44;28.77;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
59;963;Touring-3000 Yellow, 54;;Yellow;100;75;461.4448;742.35;54;29.42;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
60;960;Touring-3000 Blue, 62;;Blue;100;75;461.4448;742.35;62;30.00;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
61;964;Touring-3000 Yellow, 58;;Yellow;100;75;461.4448;742.35;58;29.79;4;T ;L ;U ;3;Touring Bikes;36;Touring-3000;1;Bikes;2013-05-30;;
62;969;Touring-1000 Blue, 60;;Blue;100;75;1481.9379;2384.07;60;25.90;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
63;957;Touring-1000 Yellow, 60;;Yellow;100;75;1481.9379;2384.07;60;25.90;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
64;968;Touring-1000 Blue, 54;;Blue;100;75;1481.9379;2384.07;54;25.68;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
65;967;Touring-1000 Blue, 50;;Blue;100;75;1481.9379;2384.07;50;25.42;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
66;799;Road-550-W Yellow, 42;;Yellow;100;75;713.0798;1120.49;42;18.13;4;R ;M ;W ;2;Road Bikes;29;Road-550-W;1;Bikes;2012-05-30;;
67;800;Road-550-W Yellow, 44;;Yellow;100;75;713.0798;1120.49;44;18.42;4;R ;M ;W ;2;Road Bikes;29;Road-550-W;1;Bikes;2012-05-30;;
68;764;Road-650 Red, 52;;Red;100;75;486.7066;782.99;52;19.42;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
69;761;Road-650 Red, 62;;Red;100;75;486.7066;782.99;62;20.00;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
70;762;Road-650 Red, 44;;Red;100;75;486.7066;782.99;44;18.77;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
71;765;Road-650 Black, 58;;Black;100;75;486.7066;782.99;58;19.79;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
72;766;Road-650 Black, 60;;Black;100;75;486.7066;782.99;60;19.90;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
73;768;Road-650 Black, 44;;Black;100;75;486.7066;782.99;44;18.77;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
74;797;Road-550-W Yellow, 38;;Yellow;100;75;713.0798;1120.49;38;17.35;4;R ;M ;W ;2;Road Bikes;29;Road-550-W;1;Bikes;2012-05-30;;
75;767;Road-650 Black, 62;;Black;100;75;486.7066;782.99;62;20.00;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
76;763;Road-650 Red, 48;;Red;100;75;486.7066;782.99;48;19.13;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
77;769;Road-650 Black, 48;;Black;100;75;486.7066;782.99;48;19.13;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
78;760;Road-650 Red, 60;;Red;100;75;486.7066;782.99;60;19.90;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
79;997;Road-750 Black, 44;;Black;100;75;343.6496;539.99;44;19.77;4;R ;L ;U ;2;Road Bikes;31;Road-750;1;Bikes;2013-05-30;;
80;998;Road-750 Black, 48;;Black;100;75;343.6496;539.99;48;20.13;4;R ;L ;U ;2;Road Bikes;31;Road-750;1;Bikes;2013-05-30;;
81;999;Road-750 Black, 52;;Black;100;75;343.6496;539.99;52;20.42;4;R ;L ;U ;2;Road Bikes;31;Road-750;1;Bikes;2013-05-30;;
82;977;Road-750 Black, 58;;Black;100;75;343.6496;539.99;58;20.79;4;R ;L ;U ;2;Road Bikes;31;Road-750;1;Bikes;2013-05-30;;
83;955;Touring-1000 Yellow, 50;;Yellow;100;75;1481.9379;2384.07;50;25.42;4;T ;H ;U ;3;Touring Bikes;34;Touring-1000;1;Bikes;2013-05-30;;
84;759;Road-650 Red, 58;;Red;100;75;486.7066;782.99;58;19.79;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
85;782;Mountain-200 Black, 38;;Black;100;75;1251.9813;2294.99;38;23.35;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
86;980;Mountain-400-W Silver, 38;;Silver;100;75;419.7784;769.49;38;26.35;4;M ;M ;W ;1;Mountain Bikes;22;Mountain-400-W;1;Bikes;2013-05-30;;
87;784;Mountain-200 Black, 46;;Black;100;75;1251.9813;2294.99;46;24.13;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
88;779;Mountain-200 Silver, 38;;Silver;100;75;1265.6195;2319.99;38;23.35;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
89;772;Mountain-100 Silver, 42;;Silver;100;75;1912.1544;3399.99;42;20.77;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
90;776;Mountain-100 Black, 42;;Black;100;75;1898.0944;3374.99;42;20.77;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
91;773;Mountain-100 Silver, 44;;Silver;100;75;1912.1544;3399.99;44;21.13;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
92;774;Mountain-100 Silver, 48;;Silver;100;75;1912.1544;3399.99;48;21.42;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
93;771;Mountain-100 Silver, 38;;Silver;100;75;1912.1544;3399.99;38;20.35;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
94;775;Mountain-100 Black, 38;;Black;100;75;1898.0944;3374.99;38;20.35;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
95;777;Mountain-100 Black, 44;;Black;100;75;1898.0944;3374.99;44;21.13;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
96;781;Mountain-200 Silver, 46;;Silver;100;75;1265.6195;2319.99;46;24.13;4;M ;H ;U ;1;Mountain Bikes;20;Mountain-200;1;Bikes;2012-05-30;;
97;778;Mountain-100 Black, 48;;Black;100;75;1898.0944;3374.99;48;21.42;4;M ;H ;U ;1;Mountain Bikes;19;Mountain-100;1;Bikes;2011-05-31;2012-05-29;
98;946;LL Touring Handlebars;;;500;375;20.464;46.09;;;1;T ;L ;;4;Handlebars;47;LL Touring Handlebars;2;Components;2013-05-30;;
99;747;HL Mountain Frame - Black, 38;;Black;500;375;739.041;1349.6;38;2.68;2;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;;
100;748;HL Mountain Frame - Silver, 38;;Silver;500;375;747.2002;1364.5;38;2.68;2;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;;
101;745;HL Mountain Frame - Black, 48;;Black;500;375;699.0928;1349.6;48;2.80;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;2012-05-29;
102;947;HL Touring Handlebars;;;500;375;40.6571;91.57;;;1;T ;H ;;4;Handlebars;48;HL Touring Handlebars;2;Components;2013-05-30;;
103;925;LL Mountain Frame - Black, 44;;Black;500;375;136.785;249.79;44;2.96;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
104;739;HL Mountain Frame - Silver, 42;;Silver;500;375;747.2002;1364.5;42;2.72;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;;
105;818;LL Road Front Wheel;;Black;500;375;37.9909;85.565;;900.00;1;R ;L ;;17;Wheels;49;LL Road Front Wheel;2;Components;2012-05-30;2013-05-29;
106;924;LL Mountain Frame - Black, 42;;Black;500;375;136.785;249.79;42;2.92;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
107;918;LL Mountain Frame - Silver, 44;;Silver;500;375;144.5938;264.05;44;2.96;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
108;944;LL Mountain Frame - Silver, 40;;Silver;500;375;144.5938;264.05;40;2.88;2;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
109;919;LL Mountain Frame - Silver, 48;;Silver;500;375;144.5938;264.05;48;3.00;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
110;917;LL Mountain Frame - Silver, 42;;Silver;500;375;144.5938;264.05;42;2.92;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
111;926;LL Mountain Frame - Black, 48;;Black;500;375;136.785;249.79;48;3.00;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
112;743;HL Mountain Frame - Black, 42;;Black;500;375;739.041;1349.6;42;2.72;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;;
113;943;LL Mountain Frame - Black, 40;;Black;500;375;136.785;249.79;40;2.88;2;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
114;927;LL Mountain Frame - Black, 52;;Black;500;375;136.785;249.79;52;3.04;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
115;908;LL Mountain Seat/Saddle;;;500;375;12.0413;27.12;;;1;M ;L ;;15;Saddles;79;LL Mountain Seat/Saddle 2;2;Components;2013-05-30;;
116;920;LL Mountain Frame - Silver, 52;;Silver;500;375;144.5938;264.05;52;3.04;1;M ;L ;U ;12;Mountain Frames;8;LL Mountain Frame;2;Components;2013-05-30;;
117;909;ML Mountain Seat/Saddle;;;500;375;17.3782;39.14;;;1;M ;M ;;15;Saddles;80;ML Mountain Seat/Saddle 2;2;Components;2013-05-30;;
118;736;LL Road Frame - Black, 44;;Black;500;375;204.6251;337.22;44;2.32;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
119;911;LL Road Seat/Saddle;;;500;375;12.0413;27.12;;;1;R ;L ;;15;Saddles;82;LL Road Seat/Saddle 1;2;Components;2013-05-30;;
120;821;Touring Front Wheel;;Black;500;375;96.7964;218.01;;;1;T ;;;17;Wheels;44;Touring Front Wheel;2;Components;2012-05-30;2013-05-29;
121;816;ML Mountain Front Wheel;;Black;500;375;92.8071;209.025;;;1;M ;M ;;17;Wheels;45;ML Mountain Front Wheel;2;Components;2012-05-30;2013-05-29;
122;817;HL Mountain Front Wheel;;Black;500;375;133.2955;300.215;;;1;M ;H ;;17;Wheels;46;HL Mountain Front Wheel;2;Components;2012-05-30;2013-05-29;
123;996;HL Bottom Bracket;;;500;375;53.9416;121.49;;170.00;1;;H ;;5;Bottom Brackets;97;HL Bottom Bracket;2;Components;2013-05-30;;
124;995;ML Bottom Bracket;;;500;375;44.9506;101.24;;168.00;1;;M ;;5;Bottom Brackets;96;ML Bottom Bracket;2;Components;2013-05-30;;
125;994;LL Bottom Bracket;;;500;375;23.9716;53.99;;223.00;1;;L ;;5;Bottom Brackets;95;LL Bottom Bracket;2;Components;2013-05-30;;
126;725;LL Road Frame - Red, 44;;Red;500;375;187.1571;337.22;44;2.32;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
127;726;LL Road Frame - Red, 48;;Red;500;375;187.1571;337.22;48;2.36;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
128;727;LL Road Frame - Red, 52;;Red;500;375;187.1571;337.22;52;2.40;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
129;910;HL Mountain Seat/Saddle;;;500;375;23.3722;52.64;;;1;M ;H ;;15;Saddles;81;HL Mountain Seat/Saddle 2;2;Components;2013-05-30;;
130;737;LL Road Frame - Black, 48;;Black;500;375;204.6251;337.22;48;2.36;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
131;729;LL Road Frame - Red, 60;;Red;500;375;187.1571;337.22;60;2.48;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
132;730;LL Road Frame - Red, 62;;Red;500;375;187.1571;337.22;62;2.50;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
133;723;LL Road Frame - Black, 60;;Black;500;375;204.6251;337.22;60;2.48;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
134;724;LL Road Frame - Black, 62;;Black;500;375;204.6251;337.22;62;2.50;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
135;722;LL Road Frame - Black, 58;;Black;500;375;204.6251;337.22;58;2.46;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
136;728;LL Road Frame - Red, 58;;Red;500;375;187.1571;337.22;58;2.46;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;2013-05-29;
137;828;HL Road Rear Wheel;;Black;500;375;158.5346;357.06;;890.00;1;R ;H ;;17;Wheels;78;HL Road Rear Wheel;2;Components;2012-05-30;2013-05-29;
138;913;HL Road Seat/Saddle;;;500;375;23.3722;52.64;;;1;R ;H ;;15;Saddles;84;HL Road Seat/Saddle 2;2;Components;2013-05-30;;
139;912;ML Road Seat/Saddle;;;500;375;17.3782;39.14;;;1;T ;M ;;15;Saddles;83;ML Road Seat/Saddle 2;2;Components;2013-05-30;;
140;738;LL Road Frame - Black, 52;;Black;500;375;204.6251;337.22;52;2.40;1;R ;L ;U ;14;Road Frames;9;LL Road Frame;2;Components;2011-05-31;;
141;827;ML Road Rear Wheel;;Black;500;375;122.2709;275.385;;1000.00;1;R ;M ;;17;Wheels;77;ML Road Rear Wheel;2;Components;2012-05-30;2013-05-29;
142;740;HL Mountain Frame - Silver, 44;;Silver;500;375;706.811;1364.5;44;2.76;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;2012-05-29;
143;891;HL Touring Frame - Blue, 50;;Blue;500;375;601.7437;1003.91;50;3.00;1;T ;H ;U ;16;Touring Frames;7;HL Touring Frame;2;Components;2013-05-30;;
144;838;HL Road Frame - Black, 44;;Black;500;375;868.6342;1431.5;44;2.12;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2012-05-30;;
145;719;HL Road Frame - Red, 48;;Red;500;375;868.6342;1431.5;48;2.16;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2011-05-31;;
146;721;HL Road Frame - Red, 56;;Red;500;375;868.6342;1431.5;56;2.24;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2011-05-31;;
147;837;HL Road Frame - Black, 62;;Black;500;375;868.6342;1431.5;62;2.30;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2012-05-30;;
148;680;HL Road Frame - Black, 58;;Black;500;375;1059.31;1431.5;58;2.24;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2008-04-30;;
149;840;HL Road Frame - Black, 52;;Black;500;375;868.6342;1431.5;52;2.20;1;R ;H ;U ;14;Road Frames;6;HL Road Frame;2;Components;2012-05-30;;
150;805;LL Headset;;;500;375;15.1848;34.2;;;1;;L ;;11;Headsets;59;LL Headset;2;Components;2012-05-30;2013-05-29;
151;742;HL Mountain Frame - Silver, 46;;Silver;500;375;747.2002;1364.5;46;2.84;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;;
152;741;HL Mountain Frame - Silver, 48;;Silver;500;375;706.811;1364.5;48;2.80;1;M ;H ;U ;12;Mountain Frames;5;HL Mountain Frame;2;Components;2011-05-31;2012-05-29;
153;813;HL Road Handlebars;;;500;375;53.3999;120.27;;;1;R ;H ;;4;Handlebars;58;HL Road Handlebars;2;Components;2012-05-30;;
154;812;ML Road Handlebars;;;500;375;27.4925;61.92;;;1;R ;M ;;4;Handlebars;57;ML Road Handlebars;2;Components;2012-05-30;;
155;811;LL Road Handlebars;;;500;375;19.7758;44.54;;;1;R ;L ;;4;Handlebars;56;LL Road Handlebars;2;Components;2012-05-30;;
